"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"BDE28";"BDE47";"BDE99";"BDE100";"BDE153";"BDE154";"HBCD"
"1";"C2018/02088-02099";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.7";"<0.15";"4.33";"9.46";"3.58";"0.929";"1.36";"0.364"
"2";"C2018/02100-02111";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.67";"<0.15";"5.67";"12.6";"5.54";"1.17";"1.86";"0.634"
"3";"C2018/00067-00078";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.74";"0.188";"7.79";"1.69";"3.23";"0.815";"3.05";"0.277"
"4";"C2018/00079-00090";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.83";"0.318";"9.15";"1.17";"3.64";"0.769";"3.89";"0.641"
"5";"C2018/05015-05026";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.78";"0.309";"4.97";"2.75";"1.81";"0.721";"2.96";"0.426"
"6";"C2018/05027-05038";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.86";"0.203";"2.96";"1.77";"0.945";"0.328";"1.52";"0.431"
"7";"C2018/01157-01168";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.69";"0.193";"<0.96";"0.655";"<0.15";"0.212";"<0.15";"0.326"
"8";"C2018/01169-01180";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.8";"<0.13";"<0.83";"<0.41";"<0.13";"0.219";"0.158";"<0.25"
"9";"C2018/00465-00476";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.17";"0.378";"0.444";"0.969";"0.394"
"10";"C2018/00477-00488";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.27";"0.25";"0.368";"0.632";"0.568"
"11";"C2018/01400-00411";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.68";"<0.15";"1.52";"1.49";"0.884";"0.526";"1.34";"0.844"
"12";"C2018/01412-01423";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.58";"<0.17";"2.21";"2.7";"0.943";"0.807";"2";"2"
"13";"C2018/02649-02660";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.47";"<0.17";"<1.1";"0.81";"0.404";"0.25";"0.435";"1.61"
"14";"C2018/02661-02672";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.62";"<0.15";"1.04";"<0.49";"0.478";"0.1";"0.428";"1.79"
"15";"C2018/00092-00096";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.69";"<0.15";"2.58";"3.34";"1.61";"0.733";"1.82";"0.99"
"16";"C2018/00097-00100";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.79";"<0.13";"2.61";"2.17";"1.48";"0.624";"1.68";"1.28"
"17";"C2018/00381-00392";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.68";"<0.15";"<0.96";"<0.49";"0.181";"0.165";"0.538";"<0.29"
"18";"C2018/00393-00404";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.74";"<0.14";"<0.92";"<0.45";"<0.14";"<0.14";"0.632";"0.447"
"19";"C2018/02088-02099";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"1.5";"0.092";"5.4";"10.6";"4.5";"0.89";"1.3";"NA"
"20";"C2018/02100-02111";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"2.1";"0.068";"5";"10.1";"5";"0.89";"1.5";"NA"
"21";"C2018/00067-00078";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.33";"0.64";"17.2";"4.2";"5.5";"1.5";"4.5";"NA"
"22";"C2018/00079-00090";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.32";"0.81";"18.9";"3.9";"6.2";"1.8";"5.1";"NA"
"23";"C2018/05015-05026";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.32";"0.47";"13.8";"0.48";"5.3";"1.3";"5.7";"NA"
"24";"C2018/05027-05038";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.48";"0.23";"6.1";"2.4";"2";"0.71";"2.5";"NA"
"25";"C2018/01157-01168";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.4";"0.11";"1.4";"0.63";"0.28";"0.26";"0.41";"NA"
"26";"C2018/01169-01180";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.45";"0.084";"1.2";"0.59";"0.26";"0.2";"0.36";"NA"
"27";"C2018/00465-00476";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.38";"<0.1";"1.9";"3.9";"0.77";"0.73";"1.5";"NA"
"28";"C2018/00477-00488";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.43";"0.4";"7";"3";"1.5";"0.57";"0.84";"NA"
"29";"C2018/01412-01423";"UMU";"Perca fluviatilis";"Stensjon";"Muscle";"0.47";"0.16";"2.7";"1.7";"1.2";"0.48";"1.4";"NA"
"30";"C2018/02649-02660";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.3";"<0.1";"1.6";"1";"0.59";"0.19";"0.6";"NA"
"31";"C2018/02661-02672";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"0.95";"<0.1";"3.2";"2.1";"1.2";"0.33";"0.96";"NA"
"32";"C2018/00092-00096";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.34";"0.19";"3.5";"2.2";"1.7";"0.44";"1.5";"NA"
"33";"C2018/00097-00100";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.46";"0.18";"2.4";"2.2";"1.6";"0.39";"1.2";"NA"
"34";"C2018/00381-00392";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.47";"0.069";"1.2";"0.81";"0.42";"0.29";"0.54";"NA"
"35";"C2018/00393-00404";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.39";"0.16";"1.3";"1.07";"0.46";"0.36";"0.55";"NA"
"36";"C2018/02088-02099";"SU";"Salvelinus";"Abiskojaure";"Muscle";"1.7";NA;"4.5";"11";"4.5";"0.7";"1.3";"<1"
"37";"C2018/02100-02111";"SU";"Salvelinus";"Abiskojaure";"Muscle";"2.5";NA;"4.3";"10";"4.8";"0.64";"1.3";"<0.7"
"38";"C2018/00067-00078";"SU";"Esox lucius";"Bolmen";"Muscle";"0.55";NA;"15";"4";"7.8";"1.3";"3";"<2"
"39";"C2018/00079-00090";"SU";"Esox lucius";"Bolmen";"Muscle";"0.56";NA;"14";"2.9";"7.1";"1";"2.8";"<1"
"40";"C2018/05015-05026";"SU";"Perca fluviatilis";"Horsan";"Muscle";"0.63";NA;"8.1";"4";"3.7";"0.77";"3.2";"<1"
"41";"C2018/05027-05038";"SU";"Perca fluviatilis";"Horsan";"Muscle";"0.72";NA;"5";"2.8";"2.2";"0.51";"1.8";"<1"
"42";"C2018/01157-01168";"SU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.59";NA;"1.2";"0.59";"<0.4";"<0.4";"<0.4";"<1"
"43";"C2018/01169-01180";"SU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.63";NA;"0.92";"0.58";"<0.3";"<0.3";"<0.3";"<1"
"44";"C2018/00465-00476";"SU";"Perca fluviatilis";"Skargolen";"Muscle";"0.65";NA;"1";"1.6";"0.76";"0.49";"0.71";"<1"
"45";"C2018/00477-00488";"SU";"Perca fluviatilis";"Skargolen";"Muscle";"0.75";NA;"1";"1.5";"0.54";"0.44";"0.5";"<1"
"46";"C2018/01400-00411";"SU";"Perca fluviatilis";"Stensjon";"Muscle";"0.71";NA;"2.1";"1.5";"1.1";"0.45";"0.8";"<1"
"47";"C2018/01412-01423";"SU";"Perca fluviatilis";"Stensjon";"Muscle";"0.66";NA;"2.3";"2.2";"1.3";"0.51";"1";"<1"
"48";"C2018/02649-02660";"SU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.5";NA;"1.2";"0.78";"0.49";"<0.3";"0.31";"1.7"
"49";"C2018/02661-02672";"SU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.7";NA;"1.4";"0.93";"0.56";"<0.2";"0.37";"2"
"50";"C2018/00092-00096";"SU";"Esox lucius";"Storvindeln";"Muscle";"0.58";NA;"3.2";"3.3";"2.7";"0.73";"1.7";"<1"
"51";"C2018/00097-00100";"SU";"Esox lucius";"Storvindeln";"Muscle";"0.67";NA;"3.1";"3";"2.6";"0.62";"1.5";"<1"
"52";"C2018/00381-00392";"SU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.65";NA;"0.94";"1";"0.37";"<0.3";"0.37";"<1"
"53";"C2018/00393-00404";"SU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.7";NA;"0.71";"0.75";"0.31";"<0.3";"0.34";"<1"
"54";"C2019/00249";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"13.2";"0.555";"17.7";"3.6";"2.1";"1";"1.79";"51.6"
"55";"C2019/00250";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"11.4";"0.326";"7.53";"1.86";"1.19";"2.55";"1.31";"47.2"
"56";"C2019/00251";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"12.4";"<0.19";"4.01";"0.996";"2.64";"2.17";"1.01";"70.2"
"57";"C2019/00252";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"12.7";"0.873";"37.7";"5.34";"2.39";"1.7";"2.16";"38.1"
"58";"C2019/00253";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"14.9";"0.325";"28.2";"3.66";"4.06";"1.53";"1.64";"28.2"
"59";"C2019/04401-04450";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"2.36";"<0.21";"1.58";"1.4";"2.13";"<0.21";"<0.21";"<0.42"
"60";"C2019/04508-04557";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"3.63";"<0.14";"<0.91";"0.95";"2.44";"<0.14";"<0.14";"0.424"
"61";"C2019/03270-03281";"SFA";"Clupea harengus";"Ranefjarden";"Muscle";"2.74";"0.139";"3.86";"1.19";"0.845";"0.299";"0.83";"4.85"
"62";"C2019/03282-03293";"SFA";"Clupea harengus";"Ranefjarden";"Muscle";"1.63";"0.19";"4.69";"1.6";"1.16";"0.357";"0.922";"4.15"
"63";"C2019/06768-06779";"SFA";"Gadus morhua";"SO Gotland";"Liver";"34.9";"0.802";"16.2";"0.602";"3.3";"0.113";"2.32";"11.3"
"64";"C2019/06780-06791";"SFA";"Gadus morhua";"SO Gotland";"Liver";"35.8";"0.698";"14.4";"0.43";"3.46";"0.139";"2.32";"8.63"
"65";"C2019/05249-05260";"SFA";"Gadus morhua";"Fladen";"Liver";"25";"0.48";"14.5";"0.177";"3.76";"0.198";"2.68";"0.76"
"66";"C2019/05261-05272";"SFA";"Gadus morhua";"Fladen";"Liver";"27.5";"0.181";"5.22";"0.161";"1.82";"0.108";"3.74";"3.93"
"67";"C2019/05459-05478";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.28";"<0.39";"<2.6";"3.22";"1.2";"<0.39";"NA";"15.5"
"68";"C2019/05499-05518";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1";"<0.5";"4.37";"4.53";"1.46";"<0.5";"<0.5";"15.4"
"69";"C2019/03385-03396";"SFA";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.04";"0.097";"2.65";"0.516";"0.869";"0.166";"0.621";"1.96"
"70";"C2019/03397-03408";"SFA";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.11";"0.084";"2.48";"0.505";"0.785";"0.146";"0.64";"1.69"
"71";"C2019/06354-06365";"SFA";"Clupea harengus";"Abbekas";"Muscle";"2.27";"0.211";"3.45";"1.4";"0.958";"0.307";"0.68";"2.23"
"72";"C2019/06366-06377";"SFA";"Clupea harengus";"Abbekas";"Muscle";"2.34";"0.188";"3.82";"1.08";"0.951";"0.241";"0.561";"3.31"
"73";"C2019/05304-05315";"SFA";"Clupea harengus";"Kullen";"Muscle";"10.1";"0.218";"1.51";"0.517";"0.367";"0.104";"0.207";"1.01"
"74";"C2019/05316-05327";"SFA";"Clupea harengus";"Kullen";"Muscle";"8.69";"0.308";"1.66";"0.52";"0.412";"0.12";"0.239";"1.12"
"75";"C2019/05695-05714";"SFA";"Mytilus edulis";"Nidingen";"Soft tissue";"0.95";"<0.52";"<3.5";"7.08";"<0.52";"0.967";"NA";"32.3"
"76";"C2019/07241-07252";"SFA";"Clupea harengus";"Byxelkrok";"Muscle";"1.1";"<0.23";"4.4";"1.55";"1.41";"0.477";"0.799";"5.02"
"77";"C2019/07253-07264";"SFA";"Clupea harengus";"Byxelkrok";"Muscle";"1.3";"<0.23";"5.79";"1.18";"2.16";"0.436";"0.922";"5.81"
"78";"C2019/00249";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"0.78";"16";"4";"NA";"<0.6";"<0.6";"47"
"79";"C2019/00250";"SU";"Uria aalge";"Stora Kalso";"Egg content";"14";"<0.6";"6";"2";"NA";"<0.6";"<0.6";"34"
"80";"C2019/00251";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"<0.6";"3.8";"1.4";"<0.6";"<0.6";"<0.6";"63"
"81";"C2019/00252";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"1.3";"36";"6.5";"NA";"1.5";"<0.6";"36"
"82";"C2019/00253";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"<0.6";"30";"5.1";"NA";"1.3";"<0.6";"30"
"83";"C2019/04401-04450";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.3";"<0.2";"0.88";"NA";"4";"<0.2";"<0.2";"<2"
"84";"C2019/04508-04557";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.5";"<0.2";"0.73";"NA";"5";"<0.2";"<0.2";"<1"
"85";"C2019/03270-03281";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2.7";"<0.3";"3.3";"0.73";"0.71";"<0.3";"0.39";"5.4"
"86";"C2019/03282-03293";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2";"<0.2";"3.3";"0.85";"0.87";"<0.2";"0.35";"4.9"
"87";"C2019/06768-06779";"SU";"Gadus morhua";"SO Gotland";"Liver";"38";"0.6";"14";"0.3";"3.5";"<0.2";"1.5";"15"
"88";"C2019/06780-06791";"SU";"Gadus morhua";"SO Gotland";"Liver";"40";"0.56";"13";"0.35";"3.4";"<0.2";"1.3";"12"
"89";"C2019/05249-05260";"SU";"Gadus morhua";"Fladen";"Liver";"28";"0.4";"13";"0.27";"3.7";"0.1";"1.5";"1.7"
"90";"C2019/05261-05272";"SU";"Gadus morhua";"Fladen";"Liver";"26";"0.17";"5.3";"0.13";"2.2";"<0.1";"1.1";"2.8"
"91";"C2019/05459-05478";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.4";"<0.2";"3.6";"2.5";"1.9";"<0.2";"<0.2";"3.3"
"92";"C2019/05499-05518";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.2";"<0.2";"3";"2";"1.5";"<0.2";"<0.2";"2.4"
"93";"C2019/03385-03396";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.3";"<0.3";"2.6";"0.44";"0.78";"<0.3";"0.46";"3.2"
"94";"C2019/03397-03408";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"2.9";"<0.2";"2.5";"0.45";"0.65";"<0.2";"0.36";"2.4"
"95";"C2019/06354-06365";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.4";"<0.2";"3.1";"0.77";"0.77";"<0.2";"0.3";"2.4"
"96";"C2019/06366-06377";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.3";"<0.2";"3.3";"0.75";"0.89";"<0.2";"0.28";"3.3"
"97";"C2019/05304-05315";"SU";"Clupea harengus";"Kullen";"Muscle";"9.8";"<0.1";"1.4";"0.32";"0.32";"<0.1";"0.16";"1.1"
"98";"C2019/05316-05327";"SU";"Clupea harengus";"Kullen";"Muscle";"8.7";"<0.1";"1.5";"0.34";"0.38";"<0.1";"0.17";"1.2"
"99";"C2019/05695-05714";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1";"<0.2";"0.57";"<0.5";"0.46";"NA";"<0.2";"2.4"
"100";"C2019/07241-07252";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.1";"<0.2";"5.2";"0.79";"1.6";"<0.2";"0.45";"6.2"
"101";"C2019/07253-07264";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.2";"<0.2";"5.4";"0.62";"2.2";"<0.2";"0.47";"7.7"
